feedbacktemplate,Class Feedback (Mandatory),Scalable Systems,US/Pacific,2022-11-17,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,OPTIONAL System Design Material,Scalable Systems,US/Pacific,2022-11-18,0:00:00,,,Remote Only,Review Optional Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Secure Interviews at Your Dream Companies Foundation,Interview Success,US/Pacific,2022-11-20,0:00:00,,,Remote Only,Complete the Foundation Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Secure Interviews at Your Dream Companies Class,Interview Success,US/Pacific,2022-11-23,18:15:00,2022-11-23,21:15:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Secure Interviews at Your Dream Companies by Jessica;Alternative Class - Secure Interviews at Your Dream Companies with Tyson;Alternative Class - Secure Interviews at Your Dream Companies with Christer;Alternative Class - Secure Interviews at Your Dream Companies with Nick,Scheduled,US/Pacific,CCIS01
feedbacktemplate,Class Feedback (Mandatory),Interview Success,US/Pacific,2022-11-23,21:15:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Secure Interviews at Your Dream Companies Post-Class Assignment,Interview Success,US/Pacific,2022-11-23,21:20:00,,,Remote Only,Complete Assignment,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Secure Interviews at Your Dream Companies Review Session,Interview Success,US/Pacific,2022-11-29,18:00:00,2022-11-29,20:00:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Secure Interviews at Your Dream Companies Review with Chris Stires;Alternative Class - Secure Interviews at Your Dream Companies Review with Tyson;Alternative Class - Secure Interviews at Your Dream Companies Review with Nick,Scheduled,US/Pacific,CCIST1
feedbacktemplate,Class Feedback (Mandatory),Interview Success,US/Pacific,2022-11-29,20:00:00,,,Remote Only,Give us Feedback,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
resourcecollection,Leadership Interview Patterns Foundation,Engineering Management,US/Pacific,2022-12-01,0:00:00,,,Remote Only,Complete the Foundation Material,disabled,N/A,N/A,On Scheduled Date,,,,,US/Pacific,
class,Live Leadership Interview Patterns Class,Engineering Management,US/Pacific,2022-12-07,18:15:00,2022-12-07,21:15:00,Remote Only,Attend the Class,enabled,Class Feedback (Mandatory),<p><br></p>,On Scheduled Date,,,Alternative Class - Leadership Interviews with Nick;Alternative Class - Leadership Interviews with Sreeram,Scheduled,US/Pacific,EMMB01
